만나이,지역거주기간,향후거주의향,정주의식,거주지소속감,지역생활만족도,주거만족도,월평균가구소득,부채유무,삶의만족도,대중교통만족도,공공편의시설만족도,의료시설만족도,year
85,50.0,1.0,3,3,3,3,1.0,2.0,4,3.25,1.0,3.0,2019
74,38.0,2.0,3,3,3,3,2.0,2.0,3,3.25,2.0,3.0,2019
82,8.0,2.0,4,3,4,4,1.0,2.0,4,3.25,2.0,3.0,2019
65,10.0,2.0,4,3,3,3,1.0,2.0,4,3.0,2.0,2.5,2019
67,20.0,2.0,4,3,3,3,1.0,1.0,3,3.75,2.0,3.0,2019
68,30.0,2.0,4,3,3,3,1.0,2.0,3,3.5,2.0,2.5,2019
65,65.0,1.0,1,4,1,2,2.0,1.0,3,3.0,2.0,3.0,2019
72,30.0,2.0,3,4,2,1,2.0,2.0,2,3.0,1.0,3.0,2019
75,70.0,1.0,3,3,2,3,2.0,2.0,4,2.75,2.0,3.0,2019
66,40.0,2.0,3,3,2,3,2.0,2.0,3,3.0,1.0,3.0,2019
70,6.0,3.0,4,3,3,3,2.0,2.0,2,3.0,1.0,3.0,2019
74,4.0,3.0,4,3,3,3,1.0,2.0,3,3.25,1.0,3.0,2019
85,30.0,2.0,3,3,2,3,1.0,2.0,4,3.25,1.0,3.0,2019
74,30.0,1.0,4,3,2,3,1.0,2.0,3,3.0,1.0,3.0,2019
68,18.0,1.0,3,4,4,1,3.0,2.0,2,1.25,3.0,2.0,2019
68,25.0,1.0,3,4,1,2,2.0,2.0,3,1.75,3.0,1.5,2019
78,30.0,1.0,3,4,3,1,3.0,2.0,3,2.5,2.0,2.0,2019
77,10.0,5.0,3,3,3,3,1.0,2.0,4,2.5,2.0,2.0,2019
80,2.0,3.0,4,2,3,2,1.0,2.0,3,3.0,2.0,2.0,2019
65,55.0,1.0,3,4,1,4,8.0,2.0,2,2.5,1.0,3.5,2019
67,40.0,1.0,3,4,1,4,8.0,2.0,2,2.0,2.0,2.0,2019
65,40.0,1.0,3,3,2,2,8.0,1.0,3,3.0,2.0,3.0,2019
66,15.0,4.0,3,3,2,1,3.0,1.0,3,3.0,1.0,2.0,2019
75,18.0,2.0,3,3,2,1,1.0,2.0,3,2.75,3.0,3.0,2019
67,15.0,2.0,3,3,2,3,2.0,1.0,2,2.5,2.0,3.5,2019
80,29.0,1.0,3,4,2,2,2.0,2.0,3,2.0,1.0,1.5,2019
